Year,Original_Revenue_M,Optimized_Revenue_M,Revenue_Improvement_%,Original_EBITDA_M,Optimized_EBITDA_M,Original_Customers,Optimized_Customers,Customer_Growth_%
1,2.8695,5.0425,75.7274786548179,-0.16821,-2.132335,180,322,78.8888888888889
2,10.9065,19.5875,79.59473708339064,2.6293552,-2.194115,435,787,80.91954022988506
3,22.5805,41.911,85.60705033103784,7.397812210000002,-0.9353424200000018,812,1499,84.60591133004927
4,39.5945,74.7585,88.81031456389145,14.964847086399995,2.1343519423999937,1334,2429,82.08395802098951
5,61.6155,108.644,76.32576218646282,25.476619178576,6.245556180864006,1963,3096,57.71777890983189
6,87.378,137.159,56.97200668360456,38.51243208118783,10.72412878356737,2685,3847,43.277467411545636
