year,year_start_date,year_end_date,avg_arr,year_end_headcount,_comment_year_end_headcount,engineering_year_end_headcount,product_year_end_headcount,sales_year_end_headcount,marketing_year_end_headcount,customer_success_year_end_headcount,g_and_a_year_end_headcount,compliance_experts_year_end_headcount,total_compensation,total_cogs,total_marketing_expenses,total_sales_expenses,total_r_and_d_expenses,total_g_and_a_expenses,one_time_expenses,total_operating_expenses,total_expenses,cogs_as_percent_of_arr,opex_as_percent_of_arr,expenses_as_percent_of_arr,compensation_percent_of_total,cogs_percent_of_total,marketing_percent_of_total,sales_percent_of_total,r_and_d_percent_of_total,g_and_a_percent_of_total
1,2025-01-01,2025-12-01,1202333.3333333333,12.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2004000.0,204396.66666666666,252490.0,141875.3333333333,168326.66666666663,832800.0,50000.0,3449492.0,3653888.666666666,17.0,286.89980593290824,303.8998059329082,54.845677655203154,5.5939489490010015,6.910172231118884,3.8828586822477535,4.606781487412588,22.792155863898795
2,2026-01-01,2026-12-01,9056333.333333334,22.0,0.0,9.0,1.5,4.0,2.0,2.0,1.5,2.0,3893400.0,1539576.6666666667,1616555.5,1068647.3333333333,1267886.6666666665,1216800.0,50000.0,9113289.5,10652866.166666666,17.0,100.62890978688945,117.62890978688945,36.547910572486465,14.452229499363058,15.174840974331213,10.031547534852004,11.901836058298988,11.422278107721151
3,2027-01-01,2027-12-01,26247507.466666665,33.8,0.0,13.5,1.9500000000000002,6.8,3.0,3.6,1.9500000000000002,3.0,6330555.0,4462076.269333334,4133982.426,3097205.8810666665,3674651.0453333333,1669920.0,0.0,18906314.352399997,23368390.621733334,17.0,72.0308942721906,89.03089427219061,27.090248115385346,19.09449538721534,17.690488373449504,13.253826209949471,15.724878554177337,7.146063359823001
4,2028-01-01,2028-12-01,46832365.38133334,45.63,0.0,17.55,2.3400000000000003,10.2,3.9000000000000004,5.4,2.3400000000000003,3.9000000000000004,9046283.715000002,7961502.114826668,6884357.711056,5526219.114997333,6556531.153386666,2124192.0,0.0,30137583.694440003,38099085.80926668,17.0,64.35204254374983,81.35204254374985,23.744096538924598,20.896832419244625,18.069613915464465,14.50486014982862,17.20915610996616,5.5754408665715065
5,2029-01-01,2029-12-01,66207925.57312002,55.848,0.0,21.06,2.5740000000000007,13.26,4.680000000000001,7.0200000000000005,2.5740000000000007,4.680000000000001,11686596.667200005,11255347.347430404,9037381.840730883,7812535.217628162,9269109.580236804,2516563.2,0.0,40322186.50579585,51577533.85322626,17.0,60.90235595927867,77.90235595927868,22.65830836436742,21.822189830672496,17.521934775804677,15.147167058937377,17.971215154671466,4.879184815546556
6,2030-01-01,2030-12-01,82586199.62167896,62.478,0.0,23.166,2.5740000000000007,15.911999999999999,4.680000000000001,8.424,2.5740000000000007,5.1480000000000015,13808376.111757504,14039653.935685426,10405861.15233155,9745171.555358117,11562067.947035056,2771155.2,0.0,48292631.96648223,62332285.90216765,17.000000000000004,58.47542590373097,75.47542590373097,22.15284729558957,22.523887472570916,16.694175420846676,15.634227775078632,18.549083800940753,4.445778234973461
