year,year_start_date,year_end_date,avg_arr,year_end_headcount,_comment_year_end_headcount,engineering_year_end_headcount,product_year_end_headcount,sales_year_end_headcount,marketing_year_end_headcount,customer_success_year_end_headcount,g_and_a_year_end_headcount,compliance_experts_year_end_headcount,total_compensation,total_cogs,total_marketing_expenses,total_sales_expenses,total_r_and_d_expenses,total_g_and_a_expenses,one_time_expenses,total_operating_expenses,total_expenses,cogs_as_percent_of_arr,opex_as_percent_of_arr,expenses_as_percent_of_arr,compensation_percent_of_total,cogs_percent_of_total,marketing_percent_of_total,sales_percent_of_total,r_and_d_percent_of_total,g_and_a_percent_of_total
1,2025-01-01,2025-12-01,793833.3333333334,12.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2088000.0,134951.66666666666,166705.0,93672.33333333333,87321.66666666667,524400.0,70000.0,3030099.0,3165050.6666666665,17.0,381.7046819231577,398.70468192315764,65.97050789708264,4.263807467221167,5.267056283037912,2.9595840066593984,2.7589342434960495,16.568455144267308
2,2026-01-01,2026-12-01,3935153.3333333335,21.7,0.0,9.0,1.5,4.0,2.0,2.0,1.5,1.7,3934980.0,668976.0666666667,702424.87,464348.0933333334,432866.86666666664,885240.0,0.0,6419859.83,7088835.896666667,17.0,163.14128792948347,180.1412879294835,55.50953721259534,9.437037003229747,9.908888853391234,6.550413919888884,6.106318060913366,12.487804949981422
3,2027-01-01,2027-12-01,10313945.6,33.01,0.0,13.5,1.9500000000000002,6.8,3.0,3.6,1.9500000000000002,2.21,6210029.699999998,1753370.7520000003,1624446.432,1217045.5807999999,1134534.016,1305972.0,0.0,11492027.7288,13245398.480800001,17.000000000000004,111.42222554286111,128.42222554286113,46.88443091388914,13.23758401486838,12.264232249069233,9.188440669143933,8.565495539032481,9.859816613996813
4,2028-01-01,2028-12-01,19470874.410666667,44.382000000000005,0.0,17.55,2.3400000000000003,10.2,3.9000000000000004,5.4,2.3400000000000003,2.6519999999999997,8661461.382000001,3310048.649813334,2862218.538368,2297563.180458667,2141796.185173333,1729010.4000000001,0.0,17692049.686,21002098.335813332,17.000000000000004,90.86417647636729,107.86417647636728,41.24093337488211,15.760561620497471,13.628250342430166,10.939683948345303,10.198010460321889,8.232560253523078
5,2029-01-01,2029-12-01,29708924.473279994,54.0852,0.0,21.06,2.5740000000000007,13.26,4.680000000000001,7.0200000000000005,2.5740000000000007,2.9172,10995549.27471,5050517.160457601,4055268.19060272,3505653.08784704,3267981.6920608,2089969.4400000004,0.0,23914421.685220566,28964938.84567816,17.000000000000007,80.49575038210837,97.49575038210835,37.96158290992089,17.43665742698844,14.000610228140713,12.103091625791974,11.282543040992516,7.2155147681654555
6,2030-01-01,2030-12-01,40125246.648533344,60.2472,0.0,23.166,2.5740000000000007,15.911999999999999,4.680000000000001,8.424,2.5740000000000007,2.9172,12747093.878200509,6821291.930250668,5055781.077715201,4734779.104526935,4413777.131338667,2319195.84,0.0,29270627.0317813,36091918.96203197,17.0,72.94815478187522,89.94815478187522,35.318415437012966,18.899776255805463,14.008069460185228,13.118668224617913,12.229266989050593,6.425803633327868
