year,year_start_date,year_end_date,Enterprise_ending_customers,Enterprise_ending_arr,Enterprise_new_customers,Enterprise_churned_customers,Enterprise_new_arr,Enterprise_churned_arr,Enterprise_customer_growth_rate,Enterprise_arr_growth_rate,Mid-Market_ending_customers,Mid-Market_ending_arr,Mid-Market_new_customers,Mid-Market_churned_customers,Mid-Market_new_arr,Mid-Market_churned_arr,Mid-Market_customer_growth_rate,Mid-Market_arr_growth_rate,SMB_ending_customers,SMB_ending_arr,SMB_new_customers,SMB_churned_customers,SMB_new_arr,SMB_churned_arr,SMB_customer_growth_rate,SMB_arr_growth_rate,total_ending_customers,total_ending_arr,total_new_customers,total_churned_customers,total_new_arr,total_churned_arr,total_customer_growth_rate,total_arr_growth_rate
1,2025-01-01,2025-11-27,7,2450000.0,5,0,1750000.0,0.0,2.5,2.5,10,1200000.0,7,0,840000.0,0.0,2.3333333333333335,2.3333333333333335,10,480000.0,6,0,288000.0,0.0,1.5,1.5,27,4130000.0,18,0,2878000.0,0.0,2.0,2.2987220447284344
2,2025-12-27,2026-11-22,44,16632000.0,37,0,13986000.0,0.0,5.285714285714286,5.788571428571428,57,7250400.0,47,0,5978400.0,0.0,4.7,5.042,35,1739733.3333333333,26,1,1292373.3333333335,49920.0,2.5,2.6244444444444444,136,25622133.333333332,110,1,21256773.333333332,49920.0,4.037037037037037,5.2039063761097655
3,2026-12-22,2027-11-17,78,31842720.0,34,0,13880160.0,0.0,0.7727272727272727,0.9145454545454546,113,15236016.0,56,0,7550592.0,0.0,0.9824561403508771,1.1014035087719298,102,5272883.199999999,70,3,3618645.3333333326,155084.8,1.9142857142857141,2.0308571428571427,293,52351619.2,160,3,25049397.333333332,155084.8,1.1544117647058822,1.0432185922587767
4,2027-12-17,2028-11-11,105,46294416.00000001,27,0,11904278.4,0.0,0.34615384615384626,0.453846153846154,160,22867507.199999996,50,3,7146096.0,428765.75999999995,0.415929203539823,0.5008849557522121,174,9354715.136000002,84,12,4516069.376000001,645152.7680000002,0.7058823529411764,0.774117647058824,439,78516638.33600001,161,15,23566443.776,1073918.5280000002,0.49829351535836186,0.4997938848088199
5,2028-12-11,2029-11-06,127,60473734.272000015,22,0,10475764.992,0.0,0.20952380952380945,0.3062857142857145,191,28935971.9232,35,4,5302403.231999999,605988.9407999999,0.1937500000000001,0.26537500000000036,221,12356826.01642667,70,23,3913926.7925333343,1286004.517546667,0.2701149425287357,0.320919540229885,539,101766532.21162668,127,27,19692095.016533334,1891993.4583466668,0.22779043280182232,0.29611422965069245
6,2029-12-06,2030-11-01,140,71997075.7632,13,0,6685442.749440001,0.0,0.10236220472440949,0.1905511811023619,211,33883871.624832004,27,7,4335850.871424001,1124109.485184,0.10471204188481686,0.17099476439790595,249,14479292.602777604,55,27,3198237.3218986676,1570043.7762048005,0.12669683257918551,0.17176470588235304,600,120360239.9908096,95,34,14219530.94276267,2694153.2613888006,0.1131725417439704,0.18270945639099434
