year,year_start_date,year_end_date,Enterprise_ending_customers,Enterprise_ending_arr,Enterprise_new_customers,Enterprise_churned_customers,Enterprise_new_arr,Enterprise_churned_arr,Enterprise_customer_growth_rate,Enterprise_arr_growth_rate,Mid-Market_ending_customers,Mid-Market_ending_arr,Mid-Market_new_customers,Mid-Market_churned_customers,Mid-Market_new_arr,Mid-Market_churned_arr,Mid-Market_customer_growth_rate,Mid-Market_arr_growth_rate,SMB_ending_customers,SMB_ending_arr,SMB_new_customers,SMB_churned_customers,SMB_new_arr,SMB_churned_arr,SMB_customer_growth_rate,SMB_arr_growth_rate,total_ending_customers,total_ending_arr,total_new_customers,total_churned_customers,total_new_arr,total_churned_arr,total_customer_growth_rate,total_arr_growth_rate
1,2025-01-01,2025-11-27,6,1500000.0,5,0,1250000.0,0.0,5.0,5.0,1,120000.0,0,0,0.0,0.0,0.0,0.0,2,28000.0,0,0,0.0,0.0,0.0,0.0,9,1648000.0,5,0,1250000.0,0.0,1.25,3.14070351758794
2,2025-12-27,2026-11-22,15,4050000.0,9,0,2430000.0,0.0,1.5,1.7000000000000002,26,3307200.0,25,0,3180000.0,0.0,25.0,26.56,6,87360.0,4,0,58240.0,0.0,2.0,2.12,47,7444560.0,38,0,5668240.0,0.0,4.222222222222222,3.5173300970873784
3,2026-12-22,2027-11-17,21,6123600.0,6,0,1749600.0,0.0,0.3999999999999999,0.512,67,9033744.0,41,0,5528112.0,0.0,1.576923076923077,1.7315384615384617,40,605695.9999999999,34,0,514841.59999999986,0.0,5.666666666666667,5.933333333333332,128,15763040.0,81,0,7792553.6,0.0,1.7234042553191489,1.1173904166263688
4,2027-12-17,2028-11-11,27,8503056.0,6,0,1889568.0,0.0,0.2857142857142858,0.38857142857142857,108,15435567.359999998,41,0,5859798.719999999,0.0,0.6119402985074627,0.7086567164179103,92,1448824.832,56,4,881893.3759999998,62992.38399999999,1.2999999999999998,1.3920000000000003,227,25387448.191999998,103,4,8631260.095999999,62992.38399999999,0.7734375,0.6105680244419858
5,2028-12-11,2029-11-06,33,11224033.920000002,6,0,2040733.44,0.0,0.22222222222222232,0.3200000000000003,147,22270093.5744,42,3,6362883.8784,454491.7055999999,0.36111111111111116,0.44277777777777794,150,2456702.9759999993,70,12,1146461.3887999998,196536.23807999998,0.6304347826086956,0.695652173913043,330,35950830.4704,118,15,9550078.707199998,651027.9436799999,0.45374449339207046,0.41608680787889085
6,2029-12-06,2030-11-01,38,13958616.729600009,5,0,1836660.0960000008,0.0,0.1515151515151516,0.2436363636363641,168,26978627.644416012,27,6,4335850.871424001,963522.4158720002,0.1428571428571428,0.21142857142857197,202,3440694.4079871997,71,19,1209352.9849855998,323629.6720383999,0.3466666666666667,0.40053333333333363,408,44377938.78200322,103,25,7381863.952409601,1287152.0879104,0.23636363636363633,0.23440649913613676
